"ID Caso","Código DANE de Municipio","Municipio","Departamento","Año","Mes","Día","ID Persona","Sexo","Etnia","Ocupación","Calidad de la Víctima o la Baja","Tipo de Población Vulnerable","Militante Político","Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Situación Actual de la Víctima","Fuente de Información de la Desaparición","Edad","latitud-longitud"
"1,022,922","54874","VILLA DEL ROSARIO","NORTE DE SANTANDER","2,004","9","12","1,033,480","HOMBRE",,"OTRA","CIVIL","POBLACIÓN LGBT",,,,"DESAPARECIDO","FAMILIARES O COMUNIDAD","JUVENTUD (18-28 AÑOS)","POINT (-72.470277 7.847757)"
"1,022,927","05854","VALDIVIA","ANTIOQUIA","2,009","7","30","1,033,483","HOMBRE",,"SIN INFORMACIÓN","CIVIL","POBLACIÓN LGBT",,,,"DESAPARECIDO","FAMILIARES O COMUNIDAD","ADULTEZ (29-59 AÑOS)","POINT (-75.40094502 7.265404213)"
"102,416","27250","EL LITORAL DEL SAN JUAN","CHOCO","2,010","7","19","113,149","HOMBRE","NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)","SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO","ONG",,"POINT (-76.98785828 4.272940191)"
"102,489","27413","LLORO","CHOCO","2,000","6","12","89,819","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.38544449 5.585101179)"
"102,636","27615","RIOSUCIO","CHOCO","1,998","3","16","206,112","HOMBRE","NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)","TRABAJADOR DE FINCA","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,,"POINT (-77.35636 7.375606)"
"102,659","27615","RIOSUCIO","CHOCO","1,996","12","23","79,443","HOMBRE",,"SIN INFORMACIÓN","CIVIL","MILITANTE POLÍTICO","UNIÓN PATRIÓTICA",,,"DESAPARECIDO",,,"POINT (-77.35636 7.375606)"
"102,659","27615","RIOSUCIO","CHOCO","1,996","12","23","79,444","HOMBRE",,"SIN INFORMACIÓN","CIVIL","MILITANTE POLÍTICO","UNIÓN PATRIÓTICA",,,"DESAPARECIDO","ENTIDAD PÚBLICA",,"POINT (-77.35636 7.375606)"
"102,659","27615","RIOSUCIO","CHOCO","1,996","12","23","902,777","HOMBRE",,"COMERCIANTE","CIVIL",,,,,"DESAPARECIDO","ENTIDAD PÚBLICA","JUVENTUD (18-28 AÑOS)","POINT (-77.35636 7.375606)"
"102,659","27615","RIOSUCIO","CHOCO","1,996","12","23","902,778","HOMBRE",,"COMERCIANTE","CIVIL",,,,,"DESAPARECIDO","ENTIDAD PÚBLICA",,"POINT (-77.35636 7.375606)"
"102,675","27615","RIOSUCIO","CHOCO","1,997","5","10","80,640","HOMBRE",,"SIN INFORMACIÓN","CIVIL","MILITANTE POLÍTICO","UNIÓN PATRIÓTICA",,,"DESAPARECIDO","ENTIDAD PÚBLICA","ADULTEZ (29-59 AÑOS)","POINT (-77.35636 7.375606)"
"1,032,916","05148","EL CARMEN DE VIBORAL","ANTIOQUIA","1,996","6","21","1,043,469","HOMBRE",,"CAMPESINO","CIVIL",,,,,"DESAPARECIDO","ONG","ADOLESCENCIA (12-17 AÑOS)","POINT (-75.2635361 5.978078841)"
"1,032,918","05148","EL CARMEN DE VIBORAL","ANTIOQUIA","1,996","6","22","1,043,472","HOMBRE",,"CAMPESINO","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-75.2635361 5.978078841)"
"1,032,919","05148","EL CARMEN DE VIBORAL","ANTIOQUIA","1,996","6","22","1,043,473","HOMBRE",,"CAMPESINO","CIVIL",,,,,"DESAPARECIDO","ONG",,"POINT (-75.2635361 5.978078841)"
"1,033,082","81220","CRAVO NORTE","ARAUCA","1,985","7","22","1,043,673","HOMBRE",,"CAMPESINO","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-70.07381197 6.39654349)"
"1,033,083","76834","TULUA","VALLE DEL CAUCA","2,001","6","2","1,043,676","SIN INFORMACION",,"OTRA","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.03250379 4.02840797)"
"1,033,084","76364","JAMUNDI","VALLE DEL CAUCA","2,012","8","7","1,043,677","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.62760418 3.213892389)"
